Company Rate,Company Name,Title,Location,Salary,Staus,Post Date,Job Link
3.6,Kenco Management Services LLC,Data Scientist I,"Chattanooga, TN",$53K - $88K (Glassdoor est.),,29/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7e3c9df1&cb=1617667736732&jobListingId=3812910962
4.3,Knowesis Inc.,Data Scientist I,"Fayetteville, NC",$78K - $132K (Glassdoor est.),,26/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=4484&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_96a9f043&cb=1617667736733&jobListingId=3735257019
2.9,Health New England,Data Scientist I,"Springfield, MA",$72K - $122K (Glassdoor est.),,23/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=926135&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_a1b8c136&cb=1617667736733&jobListingId=4040591144
3.4,Charles River Laboratories,Research Scientist 1 - Infusion,"Mattawan, MI",$42K - $93K (Glassdoor est.),Hiring Surge,01/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=1044074&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_90686a01&cb=1617667736733&jobListingId=4050174033
4.4,"Latitude, Inc.",Entry Level Data Scientist,"Fort Belvoir, VA",,,18/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=4341&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ad9e22ff&cb=1617667736733&jobListingId=3373908056
3.8,Amazon.com Services LLC,Data Scientist I,"Culver City, CA",,,13/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=133043&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d10bd5f8&cb=1617667736733&jobListingId=4001684061
4.1,UST Global,Data Scientist I,"Aliso Viejo, CA",$61K - $106K (Glassdoor est.),,31/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_77206039&cb=1617667736734&jobListingId=4020397452
3.9,Cleveland Clinic,Research Data Scientist I,"Cleveland, OH",$43K - $79K (Glassdoor est.),,27/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1091461&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_871d9bba&cb=1617667736734&jobListingId=4044533024
3.5,Centene Corporation,Data Scientist I,"Clayton, MO",$51K - $93K (Glassdoor est.),,24/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=291823&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_cd61a005&cb=1617667736734&jobListingId=4041195556
4.0,Freeport McMoRan,Data Scientist I,"Phoenix, AZ",$72K - $95K (Glassdoor est.),,04/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1136006&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_076afda1&cb=1617667736734&jobListingId=4024221321
4.1,Planned Systems International,Data Scientist I,"Washington, DC",$84K - $138K (Glassdoor est.),,26/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1091461&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_9c368134&cb=1617667736735&jobListingId=3809709960
4.4,H E B,"Customer Data Scientist I (Houston, TX)","Houston, TX",$92K - $147K (Glassdoor est.),Top Company,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=3839&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_b347be21&cb=1617667736735&jobListingId=4051265135
3.4,Charles River Laboratories,Research Scientist 1 (Analytical Chemistry),"Ashland, OH",$40K - $90K (Glassdoor est.),,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=1044074&s=58&guid=00000178a482c3b6a366233f41041c9f&src=GD_JOB_AD&t=SR&vt=w&cs=1_004327cd&cb=1617667736735&jobListingId=4050457018
